thisRow.t,notes,sausage.started,text_instr_2.started,goldi.started,elephanthouse.started,krest.started,pussalla.started,mouse_5.started,text_16.started,text_17.started,text_18.started,text_19.started,key_resp_5.started,sausage.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,key_resp_5.keys,Chocolate_.started,text_instr.started,kandos.started,ritzbury.started,revello.started,cadbury.started,mouse_4.started,key_resp_4.started,text_20.started,text_21.started,text_22.started,text_23.started,Chocolate_.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,key_resp_4.keys,Coocking_oil.started,text_12.started,fortune.started,marina.started,Njoy.started,text_13.started,text_14.started,text_15.started,mouse_3.started,key_resp_3.started,Coocking_oil.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,key_resp_3.keys,cheese.started,text.started,ambewela.started,kothmale.started,happycow.started,kraft.started,richlife.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,mouse.started,etRecord.started,key_resp.started,cheese.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,key_resp.keys,Butter.started,text_7.started,highlandYoghurt.started,anchoryoghurt.started,ambewelayoghurt.started,pelawatteyoghurt.started,text_8.started,text_9.started,text_10.started,text_11.started,mouse_2.started,key_resp_2.started,Butter.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,key_resp_2.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,Gender,age,Reason
,,3.1371025,4.3390945,4.3390945,4.3390945,4.3390945,4.3390945,3.1334709,4.3390945,4.3390945,4.3390945,4.3390945,4.3390945,24.3770071,[-0.2972222222222222],[0.06018518518518518],[1],[0],[0],[21.23660619999282],['goldi'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732663,1,2026-01-02_21h06.22.272,Cheese,,2025.2.3,None,2026-01-02 21h06.28.621676 +0530,Female,23,brand
,,,,,,,,,,,,,,,,,,,,,,,24.3772803,24.3957376,24.3957376,24.3957376,24.3957376,24.3957376,0.0001311,24.3957376,24.3957376,24.3957376,24.3957376,24.3957376,26.448172,[-0.2972222222222222],[0.06018518518518518],[1],[0],[0],[2.0671754999784753],['kandos'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732663,1,2026-01-02_21h06.22.272,Cheese,,2025.2.3,None,2026-01-02 21h06.28.621676 +0530,Female,23,brand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4484167,26.4641008,26.4641008,26.4641008,26.4641008,26.4641008,26.4641008,26.4641008,0.0001229,26.4641008,32.1665673,[0.012962962962962963],[-0.009259259259259259],[1],[0],[0],[5.7161383999628015],['marina'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732663,1,2026-01-02_21h06.22.272,Cheese,,2025.2.3,None,2026-01-02 21h06.28.621676 +0530,Female,23,price
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2089726,32.2441334,32.2441334,32.2441334,32.2441334,32.2441334,32.2441334,32.2441334,32.2441334,32.2441334,32.2441334,32.2441334,0.0423431,0.0423431,32.2441334,34.6337134,[0.3592592592592593],[0.032407407407407406],[1],[0],[0],[2.4081405000179075],['kraft'],None,,,,,,,,,,,,,,,,,,,,,,732663,1,2026-01-02_21h06.22.272,Cheese,,2025.2.3,None,2026-01-02 21h06.28.621676 +0530,Female,23,familiarity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6339978,34.6587308,34.6587308,34.6587308,34.6587308,34.6587308,34.6587308,34.6587308,34.6587308,34.6587308,0.0001256,34.6587308,35.9068452,[0.3592592592592593],[0.032407407407407406],[1],[0],[0],[1.2675018000300042],['ambewelayoghurt'],None,732663,1,2026-01-02_21h06.22.272,Cheese,,2025.2.3,None,2026-01-02 21h06.28.621676 +0530,Female,23,price
,,0.8283317,0.8507359,0.8507359,0.8507359,0.8507359,0.8507359,0.8257695,0.8507359,0.8507359,0.8507359,0.8507359,0.8507359,29.7532381,[0.2740740740740741],[0.049074074074074076],[1],[0],[0],[28.92134930001339],['krest'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819632,1,2026-01-02_21h19.47.728,Cheese,,2025.2.3,143.1465032,2026-01-02 21h19.52.038378 +0530,male,13,familiarity
,,,,,,,,,,,,,,,,,,,,,,,29.7534653,29.7716761,29.7716761,29.7716761,29.7716761,29.7716761,9.47E-05,29.7716761,29.7716761,29.7716761,29.7716761,29.7716761,36.3855142,[0.5842592592592593],[0.012037037037037037],[1],[0],[0],[6.628304699959699],['cadbury'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819632,1,2026-01-02_21h19.47.728,Cheese,,2025.2.3,143.1465032,2026-01-02 21h19.52.038378 +0530,male,13,price
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3857953,36.4023917,36.4023917,36.4023917,36.4023917,36.4023917,36.4023917,36.4023917,0.0001248,36.4023917,49.4948582,[-0.2722222222222222],[-0.03888888888888889],[1],[0],[0],[13.106025099987164],['fortune'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819632,1,2026-01-02_21h19.47.728,Cheese,,2025.2.3,143.1465032,2026-01-02 21h19.52.038378 +0530,male,13,brand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5905933,49.659094,49.659094,49.659094,49.659094,49.659094,49.659094,49.659094,49.659094,49.659094,49.659094,49.659094,0.0956612,0.0956612,49.659094,70.3417837,[0.2916666666666667],[-0.021296296296296296],[1],[0],[0],[20.71173809998436],['kraft'],None,,,,,,,,,,,,,,,,,,,,,,819632,1,2026-01-02_21h19.47.728,Cheese,,2025.2.3,143.1465032,2026-01-02 21h19.52.038378 +0530,male,13,familiarity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3422042,70.3715131,70.3715131,70.3715131,70.3715131,70.3715131,70.3715131,70.3715131,70.3715131,70.3715131,0.0001981,70.3715131,80.1675467,[0.053703703703703705],[-0.026851851851851852],[1],[0],[0],[9.821857300004922],['anchoryoghurt'],None,819632,1,2026-01-02_21h19.47.728,Cheese,,2025.2.3,143.1465032,2026-01-02 21h19.52.038378 +0530,male,13,familiarity
,,1.6377293,1.6542677,1.6542677,1.6542677,1.6542677,1.6542677,1.6366356,1.6542677,1.6542677,1.6542677,1.6542677,1.6542677,15.9809322,[0.33240740740740743],[0.03148148148148148],[1],[0],[0],[14.340657800028566],['krest'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672691,1,2026-01-02_21h32.52.412,Cheese,,2025.2.3,143.9372894,2026-01-02 21h32.55.658980 +0530,female,24,familiarity
,,,,,,,,,,,,,,,,,,,,,,,15.9814399,16.0000614,16.0000614,16.0000614,16.0000614,16.0000614,0.0001868,16.0000614,16.0000614,16.0000614,16.0000614,16.0000614,23.2374408,[0.6268518518518519],[0.044444444444444446],[1],[0],[0],[7.252753300010227],['cadbury'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672691,1,2026-01-02_21h32.52.412,Cheese,,2025.2.3,143.9372894,2026-01-02 21h32.55.658980 +0530,female,24,brand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2378561,23.2562664,23.2562664,23.2562664,23.2562664,23.2562664,23.2562664,23.2562664,0.0001583,23.2562664,28.7978959,[-0.22777777777777777],[-0.0712962962962963],[1],[0],[0],[5.55272460001288],['fortune'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672691,1,2026-01-02_21h32.52.412,Cheese,,2025.2.3,143.9372894,2026-01-02 21h32.55.658980 +0530,female,24,price
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9783943,29.0430251,29.0430251,29.0430251,29.0430251,29.0430251,29.0430251,29.0430251,29.0430251,29.0430251,29.0430251,29.0430251,0.1801157,0.1801157,29.0430251,31.2154276,[-0.027777777777777776],[-0.05925925925925926],[1],[0],[0],[2.220944900007453],['happycow'],None,,,,,,,,,,,,,,,,,,,,,,672691,1,2026-01-02_21h32.52.412,Cheese,,2025.2.3,143.9372894,2026-01-02 21h32.55.658980 +0530,female,24,brand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2156259,31.2343175,31.2343175,31.2343175,31.2343175,31.2343175,31.2343175,31.2343175,31.2343175,31.2343175,0.0003134,31.2343175,36.3360847,[-0.2361111111111111],[-0.05462962962962963],[1],[0],[0],[5.117093799985014],['highlandYoghurt'],None,672691,1,2026-01-02_21h32.52.412,Cheese,,2025.2.3,143.9372894,2026-01-02 21h32.55.658980 +0530,female,24,brand
