participant,brochure_id,age,gender,reason,clicked_item,reaction_time,gaze_x,gaze_y
SYN_000,1,45,Female,brand,elephanthouse,21.728522,-0.422766,0.052283
SYN_000,2,45,Female,brand,cadbury,2.383218,0.156563,0.031575
SYN_000,3,45,Female,price,marina,6.020751,0.345085,-0.044856
SYN_000,4,45,Female,familiarity,kraft,3.089542,-0.333673,-0.03394
SYN_000,5,45,Female,familiarity,pelawatteyoghurt,1.352223,-0.360909,0.020275
SYN_001,1,25,Female,brand,elephanthouse,4.492208,-0.197091,-0.07073
SYN_001,2,25,Female,familiarity,revello,5.665007,0.574394,-0.01289
SYN_001,3,25,Female,price,fortune,4.807841,-0.51437,-0.066127
SYN_001,4,25,Female,brand,kothmale,11.276265,-0.591132,-0.012162
SYN_001,5,25,Female,brand,highlandYoghurt,1.489903,-0.411274,0.025973
SYN_002,1,30,male,brand,krest,18.831645,0.42765,-0.094132
SYN_002,2,30,male,brand,cadbury,21.111078,0.424362,-0.013372
SYN_002,3,30,male,familiarity,fortune,23.099215,0.495639,0.016343
SYN_002,4,30,male,price,ambewela,46.986897,0.17167,0.003991
SYN_002,5,30,male,brand,highlandYoghurt,29.606167,-0.413945,-0.033112
SYN_003,1,14,male,brand,goldi,4.248049,-0.441221,-0.078365
SYN_003,2,14,male,familiarity,ritzbury,5.944351,-0.168008,0.018562
SYN_003,3,14,male,price,fortune,5.33904,-0.513675,0.011163
SYN_003,4,14,male,brand,kothmale,42.348334,-0.591462,0.028419
SYN_003,5,14,male,brand,highlandYoghurt,6.598371,-0.382319,0.03305
SYN_004,1,37,Female,price,krest,31.901783,0.464326,0.015971
SYN_004,2,37,Female,price,cadbury,2.358391,0.626844,-0.015028
SYN_004,3,37,Female,price,marina,29.983992,0.515741,0.017096
SYN_004,4,37,Female,familiarity,ambewela,2.657584,-0.591634,-0.048658
SYN_004,5,37,Female,familiarity,highlandYoghurt,13.379298,-0.380614,0.032693
SYN_005,1,16,female,price,krest,14.601561,0.480556,-0.055596
SYN_005,2,16,female,brand,cadbury,19.524442,0.626852,0.000736
SYN_005,3,16,female,brand,fortune,20.621674,-0.472597,0.028837
SYN_005,4,16,female,brand,ambewela,6.450703,-0.477048,-0.035095
SYN_005,5,16,female,brand,highlandYoghurt,19.029196,-0.414815,-0.037869
SYN_006,1,14,male,brand,krest,9.14268,-0.406322,-0.093957
SYN_006,2,14,male,brand,ritzbury,12.115614,-0.115293,-0.029191
SYN_006,3,14,male,price,fortune,4.645608,-0.204842,-0.011773
SYN_006,4,14,male,brand,richlife,50.881208,-0.559456,-0.023705
SYN_006,5,14,male,brand,highlandYoghurt,29.232123,-0.225126,0.017852
SYN_007,1,14,male,brand,goldi,18.27422,-0.44537,-0.022995
SYN_007,2,14,male,familiarity,ritzbury,2.395921,-0.191855,0.002176
SYN_007,3,14,male,price,fortune,3.170477,-0.482821,0.017562
SYN_007,4,14,male,familiarity,kraft,25.255216,-0.591426,-0.048883
SYN_007,5,14,male,brand,pelawatteyoghurt,1.392935,-0.381694,0.034438
SYN_008,1,20,Female,familiarity,pussalla,15.499103,0.363573,0.04641
SYN_008,2,20,Female,brand,cadbury,5.102631,0.62593,0.055947
SYN_008,3,20,Female,brand,fortune,18.527638,0.310493,0.035162
SYN_008,4,20,Female,brand,ambewela,2.435417,-0.484763,0.01614
SYN_008,5,20,Female,familiarity,pelawatteyoghurt,1.358451,-0.414225,0.003223
SYN_009,1,14,male,familiarity,krest,7.77734,-0.444005,-0.002064
SYN_009,2,14,male,price,cadbury,2.37397,0.609439,0.037494
SYN_009,3,14,male,brand,Njoy,2.819656,0.327579,-0.026407
SYN_009,4,14,male,brand,ambewela,7.257944,-0.567078,0.003945
SYN_009,5,14,male,price,highlandYoghurt,21.024404,0.513889,0.025395
SYN_010,1,14,male,price,krest,2.996575,-0.445368,-0.078965
SYN_010,2,14,male,brand,ritzbury,11.024155,0.077798,-0.007791
SYN_010,3,14,male,brand,fortune,2.178701,-0.49628,0.008059
SYN_010,4,14,male,familiarity,kothmale,42.748469,-0.29933,0.050563
SYN_010,5,14,male,brand,anchoryoghurt,9.650072,-0.40344,0.014553
SYN_011,1,48,male,brand,pussalla,17.939989,-0.030617,0.045394
SYN_011,2,48,male,price,cadbury,5.389485,0.039373,0.013386
SYN_011,3,48,male,brand,marina,9.811077,-0.029859,-0.070522
SYN_011,4,48,male,familiarity,kothmale,7.650854,0.101685,0.00135
SYN_011,5,48,male,brand,highlandYoghurt,1.352221,-0.41407,0.001021
SYN_012,1,19,male,brand,goldi,4.543892,-0.445303,-0.140917
SYN_012,2,19,male,familiarity,ritzbury,20.533435,-0.24109,-0.017519
SYN_012,3,19,male,familiarity,fortune,5.042712,-0.514813,-0.041683
SYN_012,4,19,male,price,ambewela,50.247506,-0.055129,0.019617
SYN_012,5,19,male,brand,pelawatteyoghurt,5.808771,-0.414814,-0.006577
SYN_013,1,49,male,brand,goldi,31.97512,-0.246076,0.059993
SYN_013,2,49,male,price,kandos,2.186146,-0.227602,0.055474
SYN_013,3,49,male,brand,marina,22.893574,0.515741,0.033395
SYN_013,4,49,male,familiarity,kraft,2.639326,0.036452,-0.042521
SYN_013,5,49,male,price,ambewelayoghurt,1.352219,-0.414679,0.021469
SYN_014,1,14,male,familiarity,pussalla,3.183823,-0.022618,0.029827
SYN_014,2,14,male,brand,cadbury,2.297967,0.613286,0.055718
SYN_014,3,14,male,brand,fortune,3.649455,-0.312557,0.041602
SYN_014,4,14,male,brand,ambewela,2.919931,-0.578321,0.028669
SYN_014,5,14,male,price,highlandYoghurt,1.382991,-0.189341,0.021944
SYN_015,1,23,male,brand,elephanthouse,8.99389,0.295853,-0.096275
